id,issue,name,rules,public,year
1,0776/13/1,FAZ.NET,"2,8",0,2014
2,0780/13/1,BILD Online,12,0,2014
3,0023/14/1,DITHMARSCHER LANDESZEITUNG,"2,9",0,2014
4,686/13/1,JUNGE FREIHEIT,12,0,2013
5,689/13/2,BILD Online,7,0,2013
6,749/13/2,DINGOLFINGER ANZEIGER,7,0,2013
7,680+681+684/13/1,BILD Online,8,1,2013
8,614/13/1,RC-FREIZEIT,7,0,2013
9,358/13/1,BILD,8,0,2013
10,454/13/1,AUGSBURGER ALLGEMEINE Online,"2,8,9",0,2013
11,334/13/2,PROMI WELT,"1,2",0,2013
12,341/13/2,FRAU AKTUELL,"2,8",0,2013
13,344/13/2,FREIZEIT EXPRESS,2,0,2013
14,345/13/2,MEINE FREIZEIT,"1,2",0,2013
15,348/13/2,DAS NEUE BLATT,"1,2",0,2013
16,381+469+471/13/2,ROCHADE EUROPA,"1,9",0,2013
17,455/13/2,BZ Online,8,0,2013
18,507/13/2,BZ Online,8,0,2013
19,674/12/1 + 675/12/1,BILD Online,8,0,2013
20,0022/13/1,BILD Online,8,0,2013
21,721/12/2,BILD Online,8,0,2013
22,0019/13/2,BILD Online,8,0,2013
23,0045+0046/13/2,BILD,8,0,2013
24,0038/13/1,IN - DAS STAR & STYLE MAGAZIN,7,0,2013
25,0078/13/1,TZ und TZ Online,"8,13",0,2013
26,0156+0158/13/1,BILD Online,"2,8",0,2013
27,0186/13/1,TAZ,"2,9",0,2013
28,0230/13/1,KANZLEI LIFE!,7,0,2013
29,0213/13/2,LAUFZEIT,7,0,2013
30,214/13/2,RUNNING,7,0,2013
31,215/13/2,CONDITION,7,0,2013
32,0040/13/3,SÄCHSISCHE ZEITUNG,8,1,2013
33,0051/13/3,MITTELBAYERISCHE ZEITUNG,8,1,2013
34,0026/12/1,DEUTSCHES WAFFENJOURNAL Online,12,0,2012
35,0817/11/2,BUNTE,7,0,2012
36,0005/12/2,WESER-KURIER,7,0,2012
37,0013/12/2,DRESDNER MORGENPOST,8,0,2012
38,0787/11/2,BILD Online,8,1,2012
39,0835/11/2,DRESDNER MORGENPOST,8,1,2012
40,0827/11/2,B.Z.,"8,11",1,2012
41,0771/11/3,Lünepost,8,0,2012
42,0042/12/1,BILD Online,8,0,2012
43,0242/12/1,WELT Online,"2,9",0,2012
44,0243/12/1,BERLINER MORGENPOST Online,"2,9",0,2012
45,0794/11/2,TV14,7,0,2012
46,0229/12/2,TZ Online,7,0,2012
47,0367/12/2,BILD Online,8,1,2012
48,0404/12/1,TITANIC,9,0,2012
49,0377+0378/12/1,BILD,8,0,2012
50,0409/12/2,BRAND EINS,7,0,2012
51,0592/12/1,TZ und TZ Online,8,0,2012
52,0583/12/2,WETZLARER NEUE ZEITUNG,"2,8",0,2012
53,0597/12/2,MERKUR Online,7,0,2012
